"4"|"0.050613000"|"10.0.0.12"|"10.0.0.1"|"0"|"GET"|"intranet.firstbangla.local"|"/accounts/summary"||||"InternalPortal/2.3"
"6"|"0.136059000"|"10.0.0.1"|"10.0.0.12"|"0"|||"/accounts/summary"|"200"|"application/json"|"4023"|
"26"|"69.171522000"|"10.0.0.12"|"10.0.0.1"|"2"|"GET"|"intranet.firstbangla.local"|"/reports/daily"||||"InternalPortal/2.3"
"28"|"69.229454000"|"10.0.0.1"|"10.0.0.12"|"2"|||"/reports/daily"|"200"|"application/json"|"2170"|
"96"|"558.151839000"|"10.0.0.12"|"10.0.0.1"|"8"|"GET"|"intranet.firstbangla.local"|"/customers/search"||||"InternalPortal/2.3"
"98"|"558.227116000"|"10.0.0.1"|"10.0.0.12"|"8"|||"/customers/search"|"200"|"application/json"|"3182"|
"106"|"584.140333000"|"10.0.0.12"|"10.0.0.1"|"9"|"GET"|"intranet.firstbangla.local"|"/customers/search"||||"InternalPortal/2.3"
"108"|"584.207107000"|"10.0.0.1"|"10.0.0.12"|"9"|||"/customers/search"|"200"|"application/json"|"3288"|
"116"|"602.474075000"|"10.0.0.12"|"10.0.0.1"|"10"|"GET"|"intranet.firstbangla.local"|"/reports/daily"||||"InternalPortal/2.3"
"118"|"602.533225000"|"10.0.0.1"|"10.0.0.12"|"10"|||"/reports/daily"|"200"|"application/json"|"2953"|
"126"|"664.130866000"|"10.0.0.12"|"10.0.0.1"|"11"|"GET"|"intranet.firstbangla.local"|"/branch/dashboard"||||"InternalPortal/2.3"
"128"|"664.178902000"|"10.0.0.1"|"10.0.0.12"|"11"|||"/branch/dashboard"|"200"|"application/json"|"3184"|
"156"|"870.905480000"|"10.0.0.12"|"10.0.0.1"|"14"|"GET"|"intranet.firstbangla.local"|"/transactions/recent"||||"InternalPortal/2.3"
"158"|"870.958008000"|"10.0.0.1"|"10.0.0.12"|"14"|||"/transactions/recent"|"200"|"application/json"|"2904"|
"216"|"1223.640882000"|"10.0.0.12"|"10.0.0.1"|"20"|"GET"|"intranet.firstbangla.local"|"/accounts/summary"||||"InternalPortal/2.3"
"218"|"1223.695488000"|"10.0.0.1"|"10.0.0.12"|"20"|||"/accounts/summary"|"200"|"application/json"|"2221"|
"238"|"1384.355187000"|"10.0.0.12"|"10.0.0.1"|"22"|"GET"|"intranet.firstbangla.local"|"/customers/search"||||"InternalPortal/2.3"
"240"|"1384.453871000"|"10.0.0.1"|"10.0.0.12"|"22"|||"/customers/search"|"200"|"application/json"|"3235"|
"258"|"1429.443950000"|"10.0.0.12"|"10.0.0.1"|"24"|"GET"|"intranet.firstbangla.local"|"/accounts/summary"||||"InternalPortal/2.3"
"260"|"1429.514156000"|"10.0.0.1"|"10.0.0.12"|"24"|||"/accounts/summary"|"200"|"application/json"|"1564"|
"270"|"1473.851634000"|"10.0.0.12"|"10.0.0.1"|"25"|"GET"|"intranet.firstbangla.local"|"/transactions/recent"||||"InternalPortal/2.3"
"272"|"1473.923481000"|"10.0.0.1"|"10.0.0.12"|"25"|||"/transactions/recent"|"200"|"application/json"|"3576"|
"333"|"1845.808023000"|"10.0.0.12"|"10.0.0.1"|"31"|"GET"|"intranet.firstbangla.local"|"/audit/status"||||"InternalPortal/2.3"
"335"|"1845.860177000"|"10.0.0.1"|"10.0.0.12"|"31"|||"/audit/status"|"200"|"application/json"|"3887"|
"363"|"1960.521355000"|"10.0.0.12"|"10.0.0.1"|"34"|"GET"|"intranet.firstbangla.local"|"/accounts/summary"||||"InternalPortal/2.3"
"365"|"1960.560417000"|"10.0.0.1"|"10.0.0.12"|"34"|||"/accounts/summary"|"200"|"application/json"|"3598"|
"405"|"2125.758902000"|"10.0.0.12"|"10.0.0.1"|"38"|"GET"|"intranet.firstbangla.local"|"/branch/dashboard"||||"InternalPortal/2.3"
"407"|"2125.818109000"|"10.0.0.1"|"10.0.0.12"|"38"|||"/branch/dashboard"|"200"|"application/json"|"3319"|
"415"|"2239.186262000"|"10.0.0.12"|"10.0.0.1"|"39"|"GET"|"intranet.firstbangla.local"|"/audit/status"||||"InternalPortal/2.3"
"417"|"2239.283584000"|"10.0.0.1"|"10.0.0.12"|"39"|||"/audit/status"|"200"|"application/json"|"1627"|
"425"|"2271.090134000"|"10.0.0.12"|"10.0.0.1"|"40"|"GET"|"intranet.firstbangla.local"|"/reports/daily"||||"InternalPortal/2.3"
"427"|"2271.149979000"|"10.0.0.1"|"10.0.0.12"|"40"|||"/reports/daily"|"200"|"application/json"|"4175"|
"435"|"2349.342264000"|"10.0.0.12"|"10.0.0.1"|"41"|"GET"|"intranet.firstbangla.local"|"/audit/status"||||"InternalPortal/2.3"
"437"|"2349.387871000"|"10.0.0.1"|"10.0.0.12"|"41"|||"/audit/status"|"200"|"application/json"|"2304"|
"491"|"2749.606773000"|"10.0.0.12"|"10.0.0.1"|"46"|"GET"|"intranet.firstbangla.local"|"/accounts/summary"||||"InternalPortal/2.3"
"493"|"2749.664920000"|"10.0.0.1"|"10.0.0.12"|"46"|||"/accounts/summary"|"200"|"application/json"|"4065"|
"511"|"2888.064058000"|"10.0.0.12"|"10.0.0.1"|"48"|"GET"|"intranet.firstbangla.local"|"/reports/daily"||||"InternalPortal/2.3"
"513"|"2888.133489000"|"10.0.0.1"|"10.0.0.12"|"48"|||"/reports/daily"|"200"|"application/json"|"3986"|
"531"|"3103.899506000"|"10.0.0.12"|"10.0.0.1"|"50"|"GET"|"intranet.firstbangla.local"|"/customers/search"||||"InternalPortal/2.3"
"533"|"3103.954801000"|"10.0.0.1"|"10.0.0.12"|"50"|||"/customers/search"|"200"|"application/json"|"2943"|
"541"|"3153.323334000"|"10.0.0.12"|"10.0.0.1"|"51"|"GET"|"intranet.firstbangla.local"|"/reports/daily"||||"InternalPortal/2.3"
"543"|"3153.355507000"|"10.0.0.1"|"10.0.0.12"|"51"|||"/reports/daily"|"200"|"application/json"|"2562"|
"561"|"3230.257561000"|"10.0.0.12"|"10.0.0.1"|"53"|"GET"|"intranet.firstbangla.local"|"/customers/search"||||"InternalPortal/2.3"
"563"|"3230.318826000"|"10.0.0.1"|"10.0.0.12"|"53"|||"/customers/search"|"200"|"application/json"|"1848"|
"581"|"3343.799498000"|"10.0.0.12"|"10.0.0.1"|"55"|"GET"|"intranet.firstbangla.local"|"/transactions/recent"||||"InternalPortal/2.3"
"583"|"3343.887115000"|"10.0.0.1"|"10.0.0.12"|"55"|||"/transactions/recent"|"200"|"application/json"|"2026"|
